id,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,Year
48,2015-01-21,shot,gun,36.0,M,Hispanic,Chapeno,TX,False,attack,Foot,False,2015
49,2015-01-21,shot,gun,19.0,M,Black,St. Louis,MO,False,attack,Not fleeing,False,2015
50,2015-01-21,shot,gun,54.0,M,White,Derry,NH,True,attack,Not fleeing,False,2015
51,2015-01-22,shot,toy weapon,25.0,M,Black,Sierra Blanca,TX,False,attack,Car,False,2015
52,2015-01-22,shot and Tasered,knife,17.0,F,White,Longview,TX,True,other,Not fleeing,False,2015
54,2015-01-23,shot,knife,56.0,M,Hispanic,Levelland,TX,False,other,Not fleeing,False,2015
55,2015-01-23,shot,gun,61.0,M,White,Austin,TX,True,attack,Not fleeing,False,2015
56,2015-01-24,shot,gun,45.0,M,White,Rexburg,ID,False,attack,Not fleeing,False,2015
57,2015-01-24,shot,knife,26.0,M,Black,Baltimore,MD,True,other,Not fleeing,False,2015
58,2015-01-24,shot,gun,40.0,M,White,Fort Worth,TX,False,attack,Not fleeing,False,2015
59,2015-01-25,shot,gun,26.0,M,Hispanic,Pueblo,CO,False,attack,Car,False,2015
61,2015-01-26,shot,vehicle,17.0,F,Hispanic,Denver,CO,False,other,Not fleeing,False,2015
62,2015-01-26,shot,gun,68.0,M,White,New Hope,MN,True,attack,Not fleeing,False,2015
63,2015-01-26,shot,unarmed,24.0,M,Hispanic,Tahoka,TX,False,other,Car,False,2015
64,2015-01-26,shot,knife,34.0,M,Hispanic,Wasco,CA,True,other,Not fleeing,False,2015
65,2015-01-27,shot,knife,39.0,F,White,Omaha,NE,True,attack,Not fleeing,False,2015
67,2015-01-27,shot,gun,29.0,M,White,Morenci,AZ,False,attack,Not fleeing,False,2015
68,2015-01-27,shot,gun,33.0,M,Black,Columbus,OH,False,attack,Not fleeing,False,2015
69,2015-01-28,shot,gun,45.0,M,White,Sunset,TX,False,attack,Not fleeing,False,2015
70,2015-01-28,shot,gun,26.0,M,White,Rosenberg,TX,False,attack,Not fleeing,False,2015
71,2015-01-28,shot and Tasered,hammer,35.0,M,Asian,Stockton,CA,True,attack,Not fleeing,False,2015
72,2015-01-29,shot,gun,31.0,M,White,Wyoming,MI,True,attack,Not fleeing,False,2015
73,2015-01-29,shot,unarmed,42.0,M,White,Stillwater,OK,False,other,Foot,False,2015
74,2015-01-30,shot,gun,48.0,M,White,Billings,MT,False,attack,Foot,False,2015
75,2015-01-31,shot,gun,31.0,M,Hispanic,Houston,TX,False,attack,Not fleeing,False,2015
76,2015-01-31,shot and Tasered,knife,54.0,M,Black,Randallstown,MD,True,other,Not fleeing,False,2015
77,2015-02-02,shot,gun,42.0,M,White,Apple Valley,CA,True,attack,Not fleeing,False,2015
78,2015-02-02,shot,gun,17.0,M,White,Bay City,MI,False,attack,Not fleeing,False,2015
79,2015-02-02,shot and Tasered,unarmed,59.0,M,White,Hummelstown,PA,False,other,Foot,False,2015
80,2015-02-03,shot,gun,23.0,M,Black,St. Louis,MO,False,attack,Foot,False,2015
81,2015-02-03,shot,gun,38.0,F,Black,Emeryville,CA,False,attack,Car,False,2015
82,2015-02-03,shot,knife,29.0,M,Black,Antioch,CA,True,other,Not fleeing,False,2015
83,2015-02-03,shot,gun,45.0,M,White,Douglas,GA,True,attack,Not fleeing,False,2015
84,2015-02-04,shot,unarmed,28.0,M,Black,Tallahassee,FL,False,attack,Not fleeing,False,2015
85,2015-02-04,shot,gun,37.0,M,Hispanic,Orlando,FL,False,attack,Not fleeing,False,2015
86,2015-02-04,shot,gun,28.0,M,Hispanic,Tempe,AZ,False,attack,Car,False,2015
87,2015-02-04,shot,unarmed,28.0,M,Hispanic,Tempe,AZ,False,other,Not fleeing,False,2015
88,2015-02-04,shot,gun,51.0,M,Black,Lorena,TX,False,attack,Car,False,2015
89,2015-02-04,shot,knife,36.0,M,Black,Memphis,TN,False,other,Not fleeing,False,2015
90,2015-02-05,shot,toy weapon,59.0,M,White,Chino,CA,False,other,Car,False,2015
91,2015-02-06,shot,gun,25.0,M,Black,Oklahoma City,OK,False,attack,Not fleeing,False,2015
92,2015-02-07,shot,toy weapon,26.0,M,White,Calimesa,CA,False,attack,Not fleeing,False,2015
93,2015-02-07,shot,gun,74.0,M,Black,Gastonia,NC,False,attack,Not fleeing,False,2015
94,2015-02-08,shot,gun,33.0,M,White,Anchorage,AK,False,attack,Car,False,2015
95,2015-02-08,shot,gun,27.0,M,White,Austin,TX,False,attack,Not fleeing,False,2015
96,2015-02-08,shot,gun,57.0,M,White,New City,NY,True,attack,Not fleeing,False,2015
97,2015-02-08,shot,gun,46.0,M,White,Orange County,FL,False,attack,Not fleeing,False,2015
98,2015-02-08,shot,gun,41.0,M,White,Nocona,TX,False,attack,Not fleeing,False,2015
99,2015-02-09,shot,gun,61.0,M,White,Smyrna,ME,True,attack,Not fleeing,False,2015
100,2015-02-09,shot,gun,45.0,M,Black,Dallas,TX,False,attack,Not fleeing,False,2015
101,2015-02-10,shot,gun,49.0,M,Black,Whitehaven,TN,False,attack,Not fleeing,False,2015
102,2015-02-10,shot,gun,45.0,M,White,New Castle,CO,True,attack,Car,False,2015
103,2015-02-10,shot and Tasered,unarmed,35.0,M,Hispanic,Pasco,WA,True,other,Foot,False,2015
104,2015-02-11,shot,knife,23.0,M,Black,San Jose,CA,True,other,Not fleeing,False,2015
105,2015-02-11,shot,toy weapon,46.0,M,White,Dadeville,AL,True,attack,Foot,True,2015
107,2015-02-13,shot,gun,21.0,M,Hispanic,Kansas City,KS,False,attack,Car,False,2015
108,2015-02-13,shot,unarmed,35.0,M,Hispanic,Reading,PA,False,other,Not fleeing,False,2015
109,2015-02-13,shot,gun,27.0,M,White,McLemoresville,TN,False,attack,Not fleeing,False,2015
110,2015-02-13,shot,knife,37.0,M,Hispanic,San Manuel,AZ,True,other,Not fleeing,False,2015
111,2015-02-14,shot,gun,16.0,M,White,Essex,MD,True,attack,Car,False,2015
112,2015-02-14,shot,gun,51.0,M,White,Laredo,TX,False,attack,Not fleeing,False,2015
113,2015-02-15,shot,gun,34.0,M,White,Iuka,MS,False,attack,Foot,False,2015
114,2015-02-15,shot,hatchet,34.0,M,White,Colton,OR,True,other,Not fleeing,False,2015
115,2015-02-15,shot and Tasered,unarmed,25.0,M,Black,Miami Gardens,FL,True,other,Not fleeing,False,2015
116,2015-02-16,shot,gun,56.0,M,White,Marana,AZ,False,attack,Not fleeing,False,2015
117,2015-02-16,shot,gun,26.0,M,White,Boise,ID,False,attack,Not fleeing,False,2015
118,2015-02-16,shot,toy weapon,24.0,M,White,Provo,UT,True,attack,Not fleeing,False,2015
119,2015-02-17,shot,gun,43.0,F,White,Gaston County,NC,False,attack,Not fleeing,False,2015
120,2015-02-17,shot,unarmed,31.0,M,White,Springfield,MO,False,other,Foot,False,2015
121,2015-02-17,shot,gun,32.0,M,White,Eaton Rapids Township,MI,False,attack,Not fleeing,False,2015
122,2015-02-17,shot,toy weapon,30.0,M,White,Tewksbury,MA,False,attack,Foot,False,2015
124,2015-02-18,shot,knife,20.0,F,Black,Charlotte,NC,True,other,Not fleeing,False,2015
125,2015-02-20,shot,unarmed,31.0,M,Hispanic,Euless,TX,False,other,Not fleeing,False,2015
126,2015-02-20,shot,gun,38.0,M,Black,Homewood,AL,False,attack,Not fleeing,False,2015
127,2015-02-20,shot,gun,77.0,M,Black,Birmingham,AL,True,attack,Not fleeing,False,2015
129,2015-02-21,shot,gun,41.0,M,White,Ruidoso,NM,False,attack,Not fleeing,False,2015
130,2015-02-21,shot,knife,51.0,M,White,Indianapolis,IN,False,attack,Not fleeing,False,2015
131,2015-02-22,shot,gun,50.0,M,White,Palm Bay,FL,False,attack,Not fleeing,False,2015
132,2015-02-23,shot,gun,47.0,M,White,Denham Springs,LA,True,attack,Not fleeing,False,2015
133,2015-02-23,shot,knife,37.0,M,White,Powder Springs,GA,False,other,Not fleeing,False,2015
134,2015-02-23,shot,gun,41.0,M,White,Clarkesville,GA,False,attack,Foot,False,2015
135,2015-02-23,shot,gun,16.0,M,Black,Millbrook,AL,False,attack,Not fleeing,False,2015
136,2015-02-23,shot and Tasered,knife,42.0,M,White,Allentown,PA,False,attack,Car,False,2015
137,2015-02-23,shot and Tasered,unarmed,39.0,M,White,Omaha,NE,False,other,Not fleeing,False,2015
138,2015-02-24,shot and Tasered,knife,30.0,M,White,Green Bay,WI,True,attack,Not fleeing,False,2015
140,2015-02-25,shot,gun,43.0,M,White,Las Vegas,NV,True,attack,Not fleeing,False,2015
141,2015-02-26,shot,gun,42.0,M,Hispanic,Lakeland,FL,False,attack,Foot,False,2015
142,2015-02-26,shot,knife,21.0,M,Hispanic,San Francisco,CA,False,other,Not fleeing,False,2015
143,2015-02-26,shot,unarmed,49.0,M,White,Gulfport,MS,False,other,Not fleeing,False,2015
144,2015-02-26,shot,gun,34.0,F,White,Sylvester,GA,False,attack,Car,False,2015
145,2015-02-26,shot and Tasered,unarmed,31.0,M,White,Terre Haute,IN,False,other,Not fleeing,False,2015
146,2015-02-27,shot,unarmed,27.0,M,Hispanic,Santa Ana,CA,False,other,Not fleeing,False,2015
147,2015-02-28,shot,gun,24.0,M,White,Pelzer,SC,False,attack,Not fleeing,False,2015
148,2015-02-28,shot,unarmed,34.0,M,Black,St Louis,MO,False,other,Car,False,2015
149,2015-02-28,shot,knife,28.0,F,Hispanic,Tucson,AZ,False,other,Not fleeing,False,2015
150,2015-02-28,shot,gun,28.0,M,Black,Columbia,MO,False,attack,Car,False,2015
151,2015-02-28,shot,gun,40.0,M,Black,Tarboro,NC,True,attack,Car,False,2015
152,2015-02-28,shot,gun,37.0,F,White,La Paz County,AZ,False,attack,Car,False,2015
153,2015-02-28,shot and Tasered,unarmed,17.0,M,White,Roxand Township,MI,False,attack,Not fleeing,True,2015
154,2015-03-01,shot,gun,35.0,M,Asian,Houston,TX,False,attack,Not fleeing,False,2015
155,2015-03-01,shot,gun,49.0,M,White,Barton,MS,False,attack,Not fleeing,False,2015
156,2015-03-01,shot and Tasered,unarmed,43.0,M,Black,Los Angeles,CA,True,attack,Not fleeing,True,2015
157,2015-03-02,shot,gun,20.0,M,Black,Joilet,IL,False,other,Foot,False,2015
158,2015-03-03,shot,gun,25.0,M,Black,Salisbury,MD,False,attack,Not fleeing,False,2015
159,2015-03-03,shot,knife,25.0,M,White,Tempe,AZ,False,attack,Not fleeing,False,2015
160,2015-03-04,shot,unarmed,26.0,M,White,Deltona,FL,False,other,Not fleeing,False,2015
161,2015-03-04,shot,gun,28.0,M,Asian,Stockton,CA,False,attack,Not fleeing,False,2015
162,2015-03-05,shot,knife,45.0,M,Black,Milwaukee,WI,True,other,Not fleeing,False,2015
163,2015-03-05,shot,unarmed,36.0,M,Hispanic,Burbank,CA,False,other,Car,False,2015
164,2015-03-05,shot,gun,34.0,M,White,Lincoln,NE,False,attack,Not fleeing,False,2015
165,2015-03-06,shot,unarmed,19.0,M,Black,Madison,WI,False,attack,Foot,False,2015
166,2015-03-06,shot,unarmed,37.0,M,Black,Aurora,CO,False,other,Foot,False,2015
168,2015-03-07,shot,gun,29.0,M,White,Phoenix,AZ,False,attack,Not fleeing,False,2015
169,2015-03-08,shot,knife,43.0,F,Black,Anaheim,CA,True,other,Not fleeing,True,2015
170,2015-03-08,shot,gun,40.0,M,Hispanic,Oklahoma City,OK,False,attack,Not fleeing,False,2015
172,2015-03-09,shot,unarmed,27.0,M,Black,Atlanta,GA,True,other,Not fleeing,False,2015
173,2015-03-09,shot,gun,58.0,M,White,Brevard,NC,False,attack,Not fleeing,False,2015
174,2015-03-09,shot,gun,46.0,M,White,Dinosaur,CO,False,attack,Not fleeing,False,2015
175,2015-03-09,shot,gun,30.0,M,Black,Cocoa,FL,False,attack,Not fleeing,False,2015
176,2015-03-10,shot,gun,64.0,M,Black,Cleveland,OH,False,attack,Not fleeing,True,2015
177,2015-03-10,shot,gun,31.0,M,Black,Baton Rouge,LA,False,attack,Not fleeing,False,2015
178,2015-03-10,shot,knife,23.0,M,White,Port Wentworth,GA,False,attack,Not fleeing,True,2015
179,2015-03-10,shot,sword,37.0,M,Hispanic,Ontario,CA,True,other,Car,False,2015
181,2015-03-11,shot,gun,31.0,M,White,Memphis,TN,True,attack,Not fleeing,False,2015
182,2015-03-11,shot,gun,39.0,M,Hispanic,Santa Ana,CA,False,attack,Not fleeing,False,2015
183,2015-03-11,shot,toy weapon,31.0,M,White,Kingman,AZ,True,attack,Not fleeing,False,2015
184,2015-03-11,shot,gun,54.0,M,White,Bay Minette,AL,False,attack,Not fleeing,False,2015
185,2015-03-11,shot,gun,53.0,M,White,Hoover,AL,True,attack,Not fleeing,False,2015
187,2015-03-12,shot,unarmed,35.0,M,Black,Washington,DC,True,other,Not fleeing,False,2015
188,2015-03-13,shot,gun,41.0,M,Hispanic,Napa,CA,False,other,Other,False,2015
189,2015-03-13,shot,gun,59.0,M,White,Kansas City,MO,False,attack,Not fleeing,False,2015
190,2015-03-13,shot,knife,36.0,M,White,Fontana,CA,False,attack,Not fleeing,False,2015
191,2015-03-13,shot,unarmed,32.0,M,Hispanic,Walnut Creek,CA,False,other,Foot,False,2015
192,2015-03-14,shot,knife,53.0,M,White,Follansbee,WV,False,other,Not fleeing,False,2015
193,2015-03-14,shot,gun,26.0,M,White,Kenosha,WI,False,attack,Car,False,2015
194,2015-03-14,shot,gun,29.0,M,Hispanic,San Antonio,TX,True,attack,Not fleeing,False,2015
195,2015-03-15,shot,machete,27.0,M,White,Ruth,MS,False,other,Not fleeing,False,2015
196,2015-03-16,shot,gun,28.0,M,White,St. Paul,MN,True,attack,Not fleeing,False,2015
197,2015-03-16,shot,gun,52.0,M,White,Gastonia,NC,True,attack,Not fleeing,False,2015
198,2015-03-17,shot,gun,49.0,M,White,Medford,OR,True,attack,Not fleeing,False,2015
199,2015-03-17,shot,gun,24.0,M,White,Dublin,NC,False,attack,Foot,False,2015
200,2015-03-17,shot,vehicle,24.0,F,White,San Francisco,CA,True,other,Not fleeing,False,2015
201,2015-03-17,shot,gun,20.0,M,White,Onalaska,TX,True,attack,Not fleeing,False,2015
202,2015-03-17,shot,unarmed,22.0,M,Hispanic,Sacramento,CA,False,other,Car,False,2015
203,2015-03-18,shot,gun,49.0,F,White,Glendale,AZ,False,attack,Not fleeing,False,2015
204,2015-03-18,shot,gun,64.0,M,White,Tallahassee,FL,False,attack,Not fleeing,False,2015
205,2015-03-18,shot,knife,47.0,M,White,Bakersfield,CA,False,other,Not fleeing,False,2015
206,2015-03-19,shot,box cutter,39.0,M,White,Lawrence County,AL,True,other,Not fleeing,True,2015
207,2015-03-19,shot,unarmed,18.0,M,Black,Cleveland,OH,False,attack,Not fleeing,False,2015
208,2015-03-19,shot,gun,31.0,M,White,Middleton,ID,False,attack,Not fleeing,True,2015
209,2015-03-19,shot,gun,16.0,M,Black,Jacksonville,FL,False,attack,Car,False,2015
210,2015-03-19,shot,unarmed,20.0,M,White,Sumas,WA,True,attack,Not fleeing,False,2015
211,2015-03-19,shot,gun,36.0,M,White,Bakersfield,CA,False,attack,Not fleeing,False,2015
212,2015-03-20,shot,machete,63.0,M,Black,New Orleans,LA,True,attack,Not fleeing,False,2015
213,2015-03-20,shot,gun,34.0,M,White,Coal County,OK,False,attack,Not fleeing,False,2015
214,2015-03-20,shot,gun,24.0,M,Native,Red Valley,AZ,False,attack,Car,False,2015
215,2015-03-21,shot,gun,21.0,M,White,Cottonwood,AZ,False,attack,Not fleeing,False,2015
216,2015-03-21,shot,gun,44.0,M,White,Clarendon,NY,False,attack,Car,False,2015
217,2015-03-21,shot,gun,60.0,M,White,Harmony,IN,True,attack,Not fleeing,False,2015
218,2015-03-21,shot,gun,42.0,M,White,Columbus,OH,False,attack,Not fleeing,False,2015
219,2015-03-22,shot,knife,37.0,M,White,Vallejo,CA,True,other,Not fleeing,False,2015
220,2015-03-22,shot and Tasered,knife,36.0,M,White,Portland,OR,True,other,Foot,False,2015
221,2015-03-22,shot and Tasered,undetermined,21.0,M,Black,Islip,NY,False,attack,Car,False,2015
222,2015-03-23,shot,gun,24.0,M,Black,Santa Clara,CA,False,attack,Not fleeing,False,2015
223,2015-03-24,shot,gun,29.0,M,Black,Portsmouth,VA,True,attack,Car,False,2015
224,2015-03-24,shot,gun,57.0,M,White,San Jose,CA,True,attack,Not fleeing,False,2015
225,2015-03-24,shot,gun,38.0,M,White,Fond du Lac,WI,False,attack,Not fleeing,False,2015
226,2015-03-25,shot,undetermined,23.0,M,Black,Smyrna,GA,False,other,Car,True,2015
227,2015-03-25,shot,gun,27.0,M,Black,Johnsonville,SC,False,attack,Foot,False,2015
228,2015-03-25,shot,gun,28.0,M,Hispanic,South Los Angeles,CA,False,attack,Foot,False,2015
229,2015-03-25,shot and Tasered,gun,63.0,M,White,Glendale,AZ,True,other,Not fleeing,False,2015
230,2015-03-26,shot,gun,53.0,F,White,Gardner,KS,False,attack,Not fleeing,False,2015
231,2015-03-26,shot,knife,35.0,M,Hispanic,Wilmington,CA,True,other,Not fleeing,False,2015
232,2015-03-27,shot,knife,26.0,F,Black,Oxnard,CA,False,other,Not fleeing,False,2015
233,2015-03-27,shot,gun,42.0,M,White,Fort Ashby,WV,False,attack,Car,False,2015
234,2015-03-27,shot,gun,41.0,M,Black,Boston,MA,False,attack,Not fleeing,False,2015
235,2015-03-27,shot,gun,56.0,M,White,Encinitas,CA,True,attack,Not fleeing,False,2015
236,2015-03-27,shot,knife,39.0,M,Black,Fort Pierce,FL,False,other,Not fleeing,False,2015
237,2015-03-27,shot,toy weapon,23.0,M,Hispanic,Bakersfield,CA,False,attack,Car,False,2015
238,2015-03-27,shot,gun,40.0,M,White,Webster,MA,False,attack,Foot,False,2015
239,2015-03-29,shot,gun,29.0,M,Black,Elizabethtown,KY,False,attack,Not fleeing,False,2015
242,2015-03-30,shot,gun,49.0,M,White,Eugene,OR,True,attack,Not fleeing,False,2015
243,2015-03-31,shot,gun,36.0,M,White,Carollwood,FL,False,attack,Not fleeing,False,2015
244,2015-03-31,shot,toy weapon,21.0,M,Hispanic,Baytown,TX,False,attack,Not fleeing,False,2015
245,2015-03-31,shot,vehicle,27.0,F,Black,Fort Meade,MD,False,other,Car,False,2015
246,2015-04-01,shot,gun,37.0,M,Black,Hawthorne,CA,False,attack,Not fleeing,False,2015
247,2015-04-01,shot,knife,36.0,M,White,Hamilton,NJ,False,attack,Not fleeing,False,2015
248,2015-04-02,shot,gun,32.0,M,Black,Rock Island,IL,False,attack,Foot,False,2015
249,2015-04-02,shot,unarmed,44.0,M,Black,Tulsa,OK,False,other,Not fleeing,False,2015
250,2015-04-02,shot,gun,27.0,M,White,Pineville,LA,True,attack,Not fleeing,False,2015
251,2015-04-02,shot and Tasered,gun,63.0,M,White,Metropolis,IL,True,attack,Not fleeing,False,2015
252,2015-04-03,shot,knife,38.0,M,White,Winchester,VA,False,other,Not fleeing,True,2015
253,2015-04-04,shot,gun,17.0,M,Black,Zion,IL,False,attack,Foot,False,2015
254,2015-04-04,shot,gun,31.0,M,Black,Orange,CA,False,attack,Not fleeing,True,2015
255,2015-04-04,shot,gun,34.0,M,White,Edgewood,NM,True,attack,Car,False,2015
256,2015-04-04,shot and Tasered,unarmed,50.0,M,Black,North Charleston,SC,False,other,Foot,False,2015
257,2015-04-05,shot,knife,51.0,M,White,Phoenix,AZ,True,other,Not fleeing,False,2015
258,2015-04-05,shot,gun,56.0,M,White,Tehachapi,CA,False,attack,Not fleeing,False,2015
259,2015-04-06,shot,gun,23.0,M,White,Indianapolis,IN,True,attack,Not fleeing,False,2015
260,2015-04-06,shot,gun,25.0,M,Black,Harvey,LA,False,attack,Foot,False,2015
261,2015-04-06,shot,gun,31.0,M,White,Jefferson County,ID,False,attack,Car,False,2015
262,2015-04-07,shot,gun,32.0,M,White,Pottawatomie County,OK,False,attack,Car,False,2015
263,2015-04-08,shot,gun,60.0,M,White,San Antonio,TX,False,attack,Car,False,2015
265,2015-04-08,shot,gun,39.0,M,Hispanic,Los Angeles,CA,False,attack,Foot,False,2015
266,2015-04-08,shot,knife,28.0,M,Asian,Sunnyvale,CA,True,other,Not fleeing,False,2015
267,2015-04-09,shot,sword,22.0,M,White,Navarre,FL,False,attack,Not fleeing,False,2015
268,2015-04-09,shot,gun,29.0,M,Black,Monon,IN,False,attack,Car,False,2015
269,2015-04-09,shot,gun,31.0,M,White,Straban Township,PA,True,attack,Not fleeing,False,2015
270,2015-04-09,shot,gun,28.0,M,White,Boiling Springs,SC,False,attack,Not fleeing,False,2015
272,2015-04-10,shot,knife,21.0,M,Hispanic,Corning,CA,False,attack,Not fleeing,False,2015
273,2015-04-10,shot,gun,38.0,M,White,Topeka,KS,False,attack,Car,False,2015
274,2015-04-11,shot,gun,66.0,M,White,Sand Springs,OK,True,attack,Not fleeing,True,2015
275,2015-04-12,shot,gun,36.0,M,Black,Indianapolis,IN,False,attack,Foot,True,2015
276,2015-04-12,shot,machete,83.0,M,White,Oklahoma City,OK,True,other,Not fleeing,False,2015
277,2015-04-12,shot,gun,32.0,M,White,Salemburg,NC,True,attack,Car,False,2015
278,2015-04-13,shot,gun,27.0,M,Hispanic,Alton,IL,False,attack,Not fleeing,False,2015
279,2015-04-14,shot,undetermined,26.0,M,Black,DeSoto,TX,False,other,Foot,False,2015
280,2015-04-14,shot,machete,31.0,M,White,Jonesboro,AR,True,attack,Not fleeing,False,2015
281,2015-04-15,shot,gun,22.0,M,Black,Miami,FL,False,other,Foot,False,2015
282,2015-04-15,shot,knife,41.0,M,Black,Spartanburg,SC,False,attack,Not fleeing,False,2015
283,2015-04-15,shot,unarmed,41.0,M,Black,Houston,TX,False,other,Car,False,2015
284,2015-04-15,shot,toy weapon,51.0,M,White,Columbia,MO,False,attack,Car,True,2015
285,2015-04-15,shot,gun,72.0,M,White,Cañon City,CO,True,attack,Not fleeing,False,2015
286,2015-04-15,shot,toy weapon,52.0,M,Hispanic,Montclair,CA,True,attack,Not fleeing,False,2015
287,2015-04-16,shot,knife,47.0,M,Hispanic,Shafter,CA,False,other,Not fleeing,False,2015
288,2015-04-17,shot,gun,18.0,M,Black,Chicago,IL,False,attack,Foot,False,2015
289,2015-04-17,shot,gun,29.0,M,Hispanic,Hemet,CA,False,attack,Not fleeing,False,2015
290,2015-04-17,shot,knife,23.0,M,Black,Jennings,MO,True,other,Not fleeing,True,2015
291,2015-04-18,shot,gun,43.0,M,Hispanic,Phoenix,AZ,True,attack,Not fleeing,False,2015
292,2015-04-18,shot,gun,45.0,M,White,Panama City,FL,False,attack,Not fleeing,False,2015
293,2015-04-19,shot,gun,40.0,M,White,Wilmore,KY,True,attack,Not fleeing,False,2015
294,2015-04-19,shot,knife,44.0,M,White,Sidney,NE,False,attack,Not fleeing,False,2015
295,2015-04-20,shot,gun,25.0,M,Hispanic,Mission,TX,False,other,Not fleeing,False,2015
296,2015-04-21,shot,unarmed,37.0,M,Native,Lakewood,WA,True,other,Foot,False,2015
297,2015-04-21,shot,knife,59.0,M,White,Irmo,SC,True,other,Not fleeing,False,2015
298,2015-04-21,shot,knife,35.0,M,Hispanic,Los Angeles,CA,True,other,Not fleeing,False,2015
300,2015-04-22,shot,unarmed,18.0,M,Black,Portsmouth,VA,False,other,Not fleeing,False,2015
301,2015-04-22,shot,knife,51.0,M,Hispanic,Bisbee,AZ,False,other,Not fleeing,False,2015
